codigo,produto,consumo_2023,consumo_2024
120224,CURVA AQ. 90° 22MM,8.0,1.0
120228,LUVA AQ. TRANS. 22MM X 3/4,2.0,0.0
120234,"NIPLE 1 1/4""",1.0,0.0
120237,CURVA SOLD. 50 MM,5.0,0.0
120247,SUPORTE PARA RALO QUADRADO 150 MM,25.0,0.0
120249,CORPO CAIXA SIFONADA 150 X 150 X 50 MM,7.0,0.0
120250,KIT COMPLETO PARA CAIXA ACLOPADA,0.0,3.0
120252,LUVA CORRER ESGOTO 75 MM,8.0,0.0
120254,JOELHO SOLD. 45° 60 MM,4.0,0.0
120255,TE SOLD. 60 MM,7.0,12.0
120256,UNIÃO SOLD. 60 MM,0.0,5.0
120257,LUVA CORRER SOLD. 50 MM,11.0,0.0
120258,BUCHA SOLD. REDUÇÃO 50 X 32 MM,0.0,1.0
120261,JOELHO ESGOTO 90° 50 MM,13.0,0.0
120263,JOELHO ESGOTO 45° 50 MM,6.0,0.0
120264,ESPUDE,16.0,8.0
120265,SIFÃO PARA CAIXA SIFONADA 75 MM,0.0,2.0
120266,JOELHO ESGOTO 45° 100 MM,1.0,3.0
120267,JOELHO ESGOTO 90° 100 MM,1.0,0.0
120268,JUNÇÃO ESGOTO PVC 100 MM,9.0,0.0
120270,LUVA ESGOTO SIMPLES 100 MM,2.0,6.0
120271,CAP ESGOTO 75 MM,5.0,2.0
120272,SUPORTE PARA RALO QUADRADO 100 MM,21.0,0.0
120275,CORPO RALO SIFONADO CÔNICO 100 X 40 MM,24.0,0.0
120277,ANEL BORRACHA ESGOTO 60 MM,1.0,1.0
120280,ANEL BORRACHA ESGOTO 85 MM,8.0,4.0
120282,ANEL BORRACHA ESGOTO 75 MM,20.0,12.0
120283,ANEL BORRACHA ESGOTO DN 65 DE 75 MM,4.0,2.0
120286,BUCHA AQ. 42MM X 35MM,4.0,0.0
120288,"PROLONGADOR COBRE 1/2""",5.0,14.0
120289,TE ESGOTO 100 MM,1.0,1.0
120290,SUPORTE PARA RALO REDONDO 100 MM,24.0,0.0
120299,SIFÃO UNIVERSAL EXTENSÍVEL,4.0,10.0
120300,ANEL DE VEDAÇÃO PARA VASO SANITÁRIO,20.0,15.0
120301,"LIG. P/ DUCHA HIGIÊNICA 1,20 M",11.0,12.0
120302,ENGATE FLEXÍVEL,17.0,10.0
120303,SIFÃO INOX,0.0,1.0
120315,"NIPLE GALVANIZADO 2""",1.0,1.0
120319,"NIPLE GALVANIZADO 1 1/4""",1.0,1.0
120322,"NIPLE GALVANIZADO 1""",1.0,7.0
120324,ANEL BORRACHA ESGOTO 100 MM,12.0,21.0
120325,ANEL BORRACHA DN 100 MM DE 110,0.0,13.0
120330,TE ESGOTO 50 MM,6.0,0.0
120331,CAP ESGOTO 50 MM,10.0,2.0
120332,LUVA CORRER ESGOTO 50 MM,7.0,0.0
120333,TE ESGOTO 40 MM,5.0,1.0
120334,JOELHO ESGOTO 90° 40MM X 40MM,2.0,0.0
120335,"TE ESGOTO C/ROSCA 1/2""",1.0,1.0
120336,BUCHA PVC CORRER REDUÇÃO 3/4 X 1/2,2.0,5.0
120338,NIPLE 1/2,3.0,10.0
120339,"TAMPÃO PVC 1/2"" MM",2.0,14.0
120340,"LUVA BUCHA LATÃO 20 X 1/2""",16.0,0.0
120342,"NIPLE GALVANIZADO 3/4""",1.0,2.0
120343,"NIPLE GALVANIZADO 1/2""",0.0,7.0
120344,"JOELHO GALVANIZADO 90° 3/4""",1.0,0.0
120347,"TE GALVANIZADO 1/2""",0.0,1.0
120349,"UNIÃO GALVANIZADA 1/2""",1.0,0.0
120350,BUCHA GALVANIZADA 3/4' X 1/2',3.0,0.0
120351,"LUVA GALVANIZADA 1/2""",4.0,1.0
120352,"TAMPÃO GALVANIZADO 1/2"" MM",0.0,2.0
120354,JOELHO SOLD. 90° 50 MM,21.0,14.0
120355,JOELHO SOLD. 90° 60 MM,21.0,11.0
120356,TE SOLD. 50 MM,12.0,9.0
120357,JOELHO SOLD. 45° 50 MM,1.0,0.0
120358,JOELHO SOLD. 90° 40 MM,7.0,11.0
120359,TE SOLD. 40 MM,2.0,5.0
120361,CAP SOLD. 50 MM,4.0,2.0
120362,CAP 40 MM,1.0,0.0
120364,UNIÃO SOLD. 50 MM,8.0,3.0
120365,UNIÃO SOLD. 40 MM,3.0,7.0
120366,UNIÃO SOLD. 25 MM,0.0,2.0
120367,JOELHO AQ. TRANSIÇÃO 22MM X 1/2,2.0,0.0
120369,LUVA CORRER ESGOTO 100 MM,3.0,9.0
120370,BUCHA REDUÇÃO ESGOTO 50 X 40 MM,8.0,0.0
120371,CAP ESGOTO 100 MM,7.0,0.0
120377,BUCHA SOLD. REDUÇÃO CURTA 60 X 50 MM,7.0,9.0
120379,JUNÇÃO ESGOTO 50 MM,4.0,0.0
120380,"BUCHA GALVANIZADA 1"" X 1/2""",0.0,4.0
120382,"BASE DE REGISTRO DE PRESSÃO 3/4""",1.0,0.0
120385,"GABARITO PARA HIDRÔMETRO 1""",1.0,0.0
120386,LUVA CORRER SOLD. PBA 110MM,0.0,4.0
120387,"BICO TORNEIRA FERRO 3/4""",5.0,0.0
120389,"BUCHA LATÃO 20 X 1/2""",7.0,7.0
120390,ANEL BORRACHA ESGOTO 50 MM,33.0,15.0
120391,"VÁLVULA PARA TANQUE METAL 1 1/4""",1.0,2.0
120394,SIFÃO PARA CAIXA SIFONADA 40 MM,9.0,0.0
120398,"UNIÃO GALVANIZADA 1 1/2""",1.0,0.0
120401,"UNIÃO GALVANIZADA 1 1/4""",2.0,1.0
120402,"LUVA GALVANIZADA RED. 2"" X 1 1/4""",1.0,1.0
